Result,B365H,B365D,B365A
A,2.2,3.2,3.5
D,2.2,3.2,3.5
D,1.57,3.6,7.0
D,3.75,3.25,2.1
A,2.4,3.25,3.0
D,2.2,3.2,3.5
D,5.5,3.5,1.7
A,6.5,4.0,1.53
H,1.29,5.0,13.0
A,2.5,3.25,2.9
H,1.73,3.4,5.5
H,1.3,5.5,10.0
A,1.53,3.8,7.0
A,2.2,3.25,3.4
D,2.1,3.3,3.6
A,4.75,3.5,1.8
D,2.6,3.3,2.75
H,2.38,3.25,3.1
H,1.67,3.75,5.5
D,2.1,3.25,3.75
A,3.3,3.25,2.25
H,1.2,6.5,15.0
H,1.4,4.5,8.5
D,2.38,3.3,3.0
H,2.25,3.3,3.25
H,1.5,4.33,6.5
H,2.1,3.25,3.75
A,2.88,3.3,2.5
A,2.1,3.25,3.75
H,1.36,4.75,9.0
A,9.0,4.5,1.4
D,2.0,3.4,3.8
H,1.17,7.0,17.0
H,3.25,3.3,2.25
A,5.0,3.75,1.7
A,3.0,3.25,2.4
D,1.67,3.6,5.5
A,2.5,3.25,2.88
D,2.4,3.25,3.0
D,1.91,3.4,4.2
H,4.2,3.4,1.91
A,1.8,3.6,4.6
H,1.5,4.0,7.0
H,2.63,3.2,2.75
A,1.91,3.4,4.2
D,6.5,3.8,1.57
H,1.83,3.5,4.5
H,2.4,3.2,3.1
H,2.63,3.4,2.63
H,1.44,4.5,7.0
H,1.2,6.5,15.0
H,1.36,4.5,10.0
H,1.44,4.33,7.5
H,1.83,3.5,4.5
D,6.5,4.0,1.53
D,2.3,3.25,3.25
A,4.0,3.5,1.91
D,2.3,3.25,3.2
H,2.5,3.4,2.8
H,1.62,3.75,6.0
A,6.5,3.75,1.57
A,3.1,3.2,2.4
H,1.17,7.0,17.0
D,2.25,3.4,3.2
A,2.5,3.25,2.88
A,6.5,4.0,1.53
H,2.0,3.3,4.0
H,2.63,3.25,2.75
H,2.1,3.4,3.5
H,1.36,4.5,10.0
D,3.0,3.3,2.4
H,1.33,5.0,10.0
H,2.2,3.3,3.4
D,1.83,3.5,4.5
H,2.2,3.2,3.5
A,2.3,3.3,3.2
H,1.44,4.33,7.5
D,3.0,3.3,2.4
H,2.0,3.3,4.0
A,2.0,3.3,4.0
A,2.2,3.2,3.5
D,1.29,5.5,11.0
H,1.57,3.8,6.5
D,2.0,3.4,3.8
H,1.53,4.0,6.5
A,4.0,3.5,1.91
A,2.25,3.25,3.3
A,2.0,3.4,3.8
H,9.5,5.0,1.33
A,1.62,4.0,5.5
A,4.5,3.6,1.8
H,1.17,7.0,19.0
D,1.91,3.6,4.0
D,2.1,3.3,3.6
H,2.1,3.3,3.6
A,4.0,3.3,2.0
A,2.88,3.25,2.5
H,1.36,4.75,9.0
A,2.1,3.2,3.8
H,1.4,4.5,8.5
H,1.83,3.5,4.5
A,7.5,4.33,1.44
D,1.29,5.5,10.0
H,1.25,5.5,13.0
H,2.25,3.25,3.3
A,10.0,5.0,1.33
H,2.4,3.3,3.0
A,3.25,3.3,2.25
H,1.91,3.3,4.33
H,1.57,3.75,6.5
H,1.3,5.5,10.0
A,5.5,3.6,1.67
A,1.83,3.5,4.5
D,2.3,3.25,3.2
A,6.5,4.2,1.5
H,2.0,3.4,3.8
D,2.5,3.25,2.88
A,1.83,3.5,4.5
H,1.57,4.0,6.0
D,1.44,4.2,8.0
A,3.1,3.25,2.38
H,1.22,6.0,15.0
D,1.4,4.5,8.5
H,2.1,3.4,3.5
H,1.83,3.5,4.5
A,1.67,3.6,5.5
A,4.0,3.6,1.91
D,2.75,3.2,2.63
D,2.2,3.25,3.4
A,5.0,3.6,1.73
H,2.1,3.4,3.5
H,1.17,7.0,17.0
A,3.5,3.4,2.1
D,2.25,3.3,3.25
